Team,Abbreviation,Primary,Secondary
Anaheim Ducks,ANA,Black,Goldenrod
Arizona Coyotes,ARI,SedonaRed,DimGray
Boston Bruins,BOS,Black,Goldenrod
Buffalo Sabres,BUF,Navy,Gold
Calgary Flames,CGY,Red,Yellow
Carolina Hurricanes,CAR,Red,Black
Chicago Blackhawks,CHI,Red,Black
Colorado Avalanche,COL,Burgundy,SteelBlue
Columbus Blue Jackets,CBJ,Navy,Red
Dallas Stars,DAL,Green,Black
Detroit Red Wings,DET,Red,White
Edmonton Oilers,EDM,Orange,DarkBlue
Florida Panthers,FLA,Red,Gold
Los Angeles Kings,LAK,Black,Purple
Minnesota Wild,MIN,ForestGreen,IndianRed
Montreal Canadiens,MTL,Red,Blue
Nashville Predators,NSH,Gold,Navy
New Jersey Devils,NJD,Red,Black
New York Islanders,NYI,RoyalBlue,Orange
New York Rangers,NYR,Blue,Red
Ottawa Senators,OTT,Red,Black
Philadelphia Flyers,PHI,Orange,Black
Pittsburgh Penguins,PIT,Black,Gold
San Jose Sharks,SJS,Teal,Black
Seattle Kraken,SEA,DeepSkyBlue,Gray
St. Louis Blues,STL,Blue,Yellow
Tampa Bay Lightning,TBL,Blue,White
Toronto Maple Leafs,TOR,Blue,White
Vancouver Canucks,VAN,Blue,Green
Vegas Golden Knights,VGK,SteelBlue,Yellow
Washington Capitals,WSH,Red,Blue
Winnipeg Jets,WPG,Blue,Red
